date,selected,entering,exiting,n_trades,transaction_cost,gross_return,net_return,proba_selected,adj_proba_selected,weight_per_stock
2024-04-26,AAPL | TSLA,AAPL,META,2,0.001000,0.079910,0.078910,"{'AAPL': np.float64(0.9), 'TSLA': np.float64(1.0)}","{'AAPL': np.float64(0.9), 'TSLA': np.float64(1.5)}",0.500000
2024-05-03,AAPL | JPM,JPM,TSLA,2,0.001000,0.021456,0.020456,"{'AAPL': np.float64(0.85), 'JPM': np.float64(1.0)}","{'AAPL': np.float64(1.35), 'JPM': np.float64(1.0)}",0.500000
2024-05-10,AAPL | JPM,—,—,0,0.000000,0.033772,0.033772,"{'AAPL': np.float64(0.9), 'JPM': np.float64(0.6)}","{'AAPL': np.float64(1.4), 'JPM': np.float64(1.1)}",0.500000
2024-05-17,AAPL | JPM,—,—,0,0.000000,-0.009672,-0.009672,"{'AAPL': np.float64(1.0), 'JPM': np.float64(0.7)}","{'AAPL': np.float64(1.5), 'JPM': np.float64(1.2)}",0.500000
2024-05-24,AAPL | JPM,—,—,0,0.000000,0.010757,0.010757,"{'AAPL': np.float64(0.8), 'JPM': np.float64(1.0)}","{'AAPL': np.float64(1.3), 'JPM': np.float64(1.5)}",0.500000
2024-05-31,AAPL | JPM,—,—,0,0.000000,0.005455,0.005455,"{'AAPL': np.float64(1.0), 'JPM': np.float64(0.55)}","{'AAPL': np.float64(1.5), 'JPM': np.float64(1.05)}",0.500000
2024-06-07,AAPL | META,META,JPM,2,0.001000,0.051484,0.050484,"{'AAPL': np.float64(0.5), 'META': np.float64(1.0)}","{'AAPL': np.float64(1.0), 'META': np.float64(1.0)}",0.500000
2024-06-14,AAPL | JNJ,JNJ,META,2,0.001000,-0.000737,-0.001737,"{'AAPL': np.float64(0.5), 'JNJ': np.float64(1.0)}","{'AAPL': np.float64(1.0), 'JNJ': np.float64(1.0)}",0.500000
2024-06-21,AAPL | JNJ,—,—,0,0.000000,-0.001164,-0.001164,"{'AAPL': np.float64(0.65), 'JNJ': np.float64(0.65)}","{'AAPL': np.float64(1.15), 'JNJ': np.float64(1.15)}",0.500000
2024-06-28,AAPL | GOOGL,GOOGL,JNJ,2,0.001000,0.060514,0.059514,"{'AAPL': np.float64(0.9), 'GOOGL': np.float64(1.0)}","{'AAPL': np.float64(1.4), 'GOOGL': np.float64(1.0)}",0.500000
2024-07-05,GOOGL | V,V,AAPL,2,0.001000,-0.023051,-0.024051,"{'GOOGL': np.float64(0.4), 'V': np.float64(1.0)}","{'GOOGL': np.float64(0.9), 'V': np.float64(1.0)}",0.500000
2024-07-12,AAPL | META,AAPL | META,GOOGL | V,4,0.002000,-0.035642,-0.037642,"{'AAPL': np.float64(1.0), 'META': np.float64(0.9)}","{'AAPL': np.float64(1.0), 'META': np.float64(0.9)}",0.500000
2024-07-19,META | V,V,AAPL,2,0.001000,-0.022931,-0.023931,"{'META': np.float64(0.9), 'V': np.float64(1.0)}","{'META': np.float64(1.4), 'V': np.float64(1.0)}",0.500000
2024-07-26,BRK-B | V,BRK-B,META,2,0.001000,0.003096,0.002096,"{'BRK-B': np.float64(1.0), 'V': np.float64(0.7)}","{'BRK-B': np.float64(1.0), 'V': np.float64(1.2)}",0.500000
2024-08-02,BRK-B | JPM,JPM,V,2,0.001000,0.020586,0.019586,"{'BRK-B': np.float64(0.8), 'JPM': np.float64(1.0)}","{'BRK-B': np.float64(1.3), 'JPM': np.float64(1.0)}",0.500000
2024-08-09,BRK-B | JPM,—,—,0,0.000000,0.034722,0.034722,"{'BRK-B': np.float64(0.8), 'JPM': np.float64(1.0)}","{'BRK-B': np.float64(1.3), 'JPM': np.float64(1.5)}",0.500000
2024-08-16,BRK-B | JPM,—,—,0,0.000000,0.020119,0.020119,"{'BRK-B': np.float64(0.7), 'JPM': np.float64(0.6)}","{'BRK-B': np.float64(1.2), 'JPM': np.float64(1.1)}",0.500000
2024-08-23,BRK-B | JPM,—,—,0,0.000000,0.039722,0.039722,"{'BRK-B': np.float64(0.65), 'JPM': np.float64(1.0)}","{'BRK-B': np.float64(1.15), 'JPM': np.float64(1.5)}",0.500000
2024-08-30,BRK-B | JPM,—,—,0,0.000000,-0.044781,-0.044781,"{'BRK-B': np.float64(0.5), 'JPM': np.float64(0.7)}","{'BRK-B': np.float64(1.0), 'JPM': np.float64(1.2)}",0.500000
2024-09-06,BRK-B | JPM,—,—,0,0.000000,-0.032010,-0.032010,"{'BRK-B': np.float64(0.75), 'JPM': np.float64(1.0)}","{'BRK-B': np.float64(1.25), 'JPM': np.float64(1.5)}",0.500000
2024-09-13,BRK-B | JPM,—,—,0,0.000000,0.025168,0.025168,"{'BRK-B': np.float64(1.0), 'JPM': np.float64(0.9)}","{'BRK-B': np.float64(1.5), 'JPM': np.float64(1.4)}",0.500000
2024-09-20,JPM | TSLA,TSLA,BRK-B,2,0.001000,0.045213,0.044213,"{'JPM': np.float64(0.5), 'TSLA': np.float64(1.0)}","{'JPM': np.float64(1.0), 'TSLA': np.float64(1.0)}",0.500000
2024-09-27,AMZN | TSLA,AMZN,JPM,2,0.001000,-0.023810,-0.024810,"{'AMZN': np.float64(1.0), 'TSLA': np.float64(0.9)}","{'AMZN': np.float64(1.0), 'TSLA': np.float64(1.4)}",0.500000
2024-10-04,JPM | TSLA,JPM,AMZN,2,0.001000,-0.038334,-0.039334,"{'JPM': np.float64(1.0), 'TSLA': np.float64(0.7)}","{'JPM': np.float64(1.0), 'TSLA': np.float64(1.2)}",0.500000
2024-10-11,JPM | TSLA,—,—,0,0.000000,0.013585,0.013585,"{'JPM': np.float64(0.7), 'TSLA': np.float64(0.9)}","{'JPM': np.float64(1.2), 'TSLA': np.float64(1.4)}",0.500000
2024-10-18,GOOGL | JPM,GOOGL,TSLA,2,0.001000,-0.001129,-0.002129,"{'GOOGL': np.float64(1.0), 'JPM': np.float64(0.8)}","{'GOOGL': np.float64(1.0), 'JPM': np.float64(1.3)}",0.500000
