date,selected,entering,exiting,n_trades,transaction_cost,gross_return,net_return,proba_selected,adj_proba_selected,weight_per_stock
2025-06-20,BRK-B | TSLA,TSLA,JNJ,2,0.001000,0.003137,0.002137,"{'BRK-B': np.float32(1.0), 'TSLA': np.float32(0.9)}","{'BRK-B': np.float32(1.04), 'TSLA': np.float32(0.9)}",0.500000
2025-06-27,AMZN | BRK-B,AMZN,TSLA,2,0.001000,-0.000454,-0.001454,"{'AMZN': np.float32(1.0), 'BRK-B': np.float32(0.9)}","{'AMZN': np.float32(1.0), 'BRK-B': np.float32(0.94)}",0.500000
2025-07-04,GOOGL | V,GOOGL | V,AMZN | BRK-B,4,0.002000,-0.013391,-0.015391,"{'GOOGL': np.float32(0.95), 'V': np.float32(0.95)}","{'GOOGL': np.float32(0.95), 'V': np.float32(0.95)}",0.500000
2025-07-11,AAPL | GOOGL,AAPL,V,2,0.001000,0.013561,0.012561,"{'AAPL': np.float32(1.0), 'GOOGL': np.float32(0.8)}","{'AAPL': np.float32(1.0), 'GOOGL': np.float32(0.84)}",0.500000
2025-07-18,TSLA | V,TSLA | V,AAPL | GOOGL,4,0.002000,-0.009167,-0.011167,"{'TSLA': np.float32(1.0), 'V': np.float32(0.9)}","{'TSLA': np.float32(1.0), 'V': np.float32(0.9)}",0.500000
2025-07-25,TSLA | V,—,—,0,0.000000,-0.046019,-0.046019,"{'TSLA': np.float32(0.95), 'V': np.float32(0.95)}","{'TSLA': np.float32(0.99), 'V': np.float32(0.99)}",0.500000
2025-08-01,META | MSFT,META | MSFT,TSLA | V,4,0.002000,0.010885,0.008885,"{'META': np.float32(1.0), 'MSFT': np.float32(0.9)}","{'META': np.float32(1.0), 'MSFT': np.float32(0.9)}",0.500000
2025-08-08,BRK-B | TSLA,BRK-B | TSLA,META | MSFT,4,0.002000,0.014058,0.012058,"{'BRK-B': np.float32(0.9), 'TSLA': np.float32(1.0)}","{'BRK-B': np.float32(0.9), 'TSLA': np.float32(1.0)}",0.500000
2025-08-15,AAPL | AMZN,AAPL | AMZN,BRK-B | TSLA,4,0.002000,-0.013009,-0.015009,"{'AAPL': np.float32(0.9), 'AMZN': np.float32(0.9)}","{'AAPL': np.float32(0.9), 'AMZN': np.float32(0.9)}",0.500000
2025-08-22,JPM | MSFT,JPM | MSFT,AAPL | AMZN,4,0.002000,0.008211,0.006211,"{'JPM': np.float32(1.0), 'MSFT': np.float32(0.9)}","{'JPM': np.float32(1.0), 'MSFT': np.float32(0.9)}",0.500000
2025-08-29,JNJ | MSFT,JNJ,JPM,2,0.001000,-0.007980,-0.008980,"{'JNJ': np.float32(0.9), 'MSFT': np.float32(1.0)}","{'JNJ': np.float32(0.9), 'MSFT': np.float32(1.04)}",0.500000
2025-09-05,JNJ | META,META,MSFT,2,0.001000,0.001050,0.000050,"{'JNJ': np.float32(0.9), 'META': np.float32(1.0)}","{'JNJ': np.float32(0.94), 'META': np.float32(1.0)}",0.500000
2025-09-12,AMZN | META,AMZN,JNJ,2,0.001000,0.022379,0.021379,"{'AMZN': np.float32(0.95), 'META': np.float32(0.95)}","{'AMZN': np.float32(0.95), 'META': np.float32(0.99)}",0.500000
2025-09-19,JPM | MSFT,JPM | MSFT,AMZN | META,4,0.002000,-0.004213,-0.006213,"{'JPM': np.float32(0.85), 'MSFT': np.float32(1.0)}","{'JPM': np.float32(0.85), 'MSFT': np.float32(1.0)}",0.500000
